Date,Store_ID,Store_Name,Product_ID,Product_Name,Category,Units_Sold,Price,Discount,Promotion,Holiday,Day_of_Week,Month,Season,Inventory_Level
2024-01-01,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,101,4.24,0.15,1,1,0,1,Winter,349
2024-01-02,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,97,4.24,0.15,1,1,1,1,Winter,252
2024-01-03,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,59,4.99,0.0,0,0,2,1,Winter,193
2024-01-04,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,73,4.99,0.0,0,0,3,1,Winter,120
2024-01-05,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,71,4.99,0.0,0,0,4,1,Winter,409
2024-01-06,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,79,4.99,0.0,0,0,5,1,Winter,330
2024-01-07,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,83,4.99,0.0,0,0,6,1,Winter,247
2024-01-08,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,53,4.99,0.0,0,0,0,1,Winter,194
2024-01-09,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,47,4.99,0.0,0,0,1,1,Winter,147
2024-01-10,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,58,4.99,0.0,0,0,2,1,Winter,89
2024-01-11,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,55,4.99,0.0,0,0,3,1,Winter,394
2024-01-12,STR_01,Downtown Metro Mart,PRD_01,Organic Whole Milk 1 Gal,Dairy,68,4.99,0.0,0,0,4,1,Winter,326
